testcase,scheme,ALLOW_LOCAL_URLS,NO_FRAGMENTS,ALLOW_2_SLASHES,ALLOW_ALL_SCHEMES,regex,http://foo.com/blah_(wikipedia)#cite-1,http://foo.com/blah_(wikipedia)_blah#cite-1,https://foo.com/blah_blah#,http://www.ics.uci.edu/pub/ietf/uri/historical.html#WARNING,http://example.org/foo/bar;param?query#frag,http://example.org/a#b#c,http://example.org/a#b c,http://foo.com/blah_(wikipedia)_blah#cite-1,http://code.google.com/events/#&product=browser,http://foo.com/blah_(wikipedia)#cite-1,http://example.org/a#b#c,http://example.org/a#b c
31,{[http][https]},ON,ON,OFF,ON,DEFAULT,false,false,false,false,false,false,false,false,false,false,false,false
32,{[http][https]},ON,ON,ON,OFF,DEFAULT,false,false,false,false,false,false,false,false,false,false,false,false
33,{[http][https]},ON,ON,ON,ON,DEFAULT,false,false,false,false,false,false,false,false,false,false,false,false
34,{[http][https][ftp]},OFF,OFF,OFF,OFF,^[\w-\\.]*$,true,true,true,true,true,true,true,true,true,true,true,true
35,{[http][https][ftp]},OFF,OFF,OFF,ON,^[\w-\\.]*$,true,true,true,true,true,true,true,true,true,true,true,true
36,{[http][https][ftp]},OFF,OFF,ON,OFF,^[\w-\\.]*$,true,true,true,true,true,true,true,true,true,true,true,true
37,{[http][https][ftp]},OFF,OFF,ON,ON,^[\w-\\.]*$,true,true,true,true,true,true,true,true,true,true,true,true
38,{[http][https][ftp]},OFF,ON,OFF,OFF,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false,false,false
39,{[http][https][ftp]},OFF,ON,OFF,ON,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false,false,false
40,{[http][https][ftp]},OFF,ON,ON,OFF,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false,false,false
41,{[http][https][ftp]},OFF,ON,ON,ON,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false,false,false
42,{[http][https][ftp]},ON,OFF,OFF,OFF,^[\w-\\.]*$,true,true,true,true,true,true,true,true,true,true,true,true
43,{[http][https][ftp]},ON,OFF,OFF,ON,^[\w-\\.]*$,true,true,true,true,true,true,true,true,true,true,true,true
44,{[http][https][ftp]},ON,OFF,ON,OFF,^[\w-\\.]*$,true,true,true,true,true,true,true,true,true,true,true,true
45,{[http][https][ftp]},ON,OFF,ON,ON,^[\w-\\.]*$,true,true,true,true,true,true,true,true,true,true,true,true
46,{[http][https][ftp]},ON,ON,OFF,OFF,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false,false,false
47,{[http][https][ftp]},ON,ON,OFF,ON,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false,false,false
48,{[http][https][ftp]},ON,ON,ON,OFF,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false,false,false
49,{[http][https][ftp]},ON,ON,ON,ON,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false,false,false
50,{[http][https]},OFF,OFF,OFF,OFF,^[\w-\\.]*$,true,true,true,true,true,true,true,true,true,true,true,true
51,{[http][https]},OFF,OFF,OFF,ON,^[\w-\\.]*$,true,true,true,true,true,true,true,true,true,true,true,true
52,{[http][https]},OFF,OFF,ON,OFF,^[\w-\\.]*$,true,true,true,true,true,true,true,true,true,true,true,true
53,{[http][https]},OFF,OFF,ON,ON,^[\w-\\.]*$,true,true,true,true,true,true,true,true,true,true,true,true
54,{[http][https]},OFF,ON,OFF,OFF,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false,false,false
55,{[http][https]},OFF,ON,OFF,ON,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false,false,false
56,{[http][https]},OFF,ON,ON,OFF,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false,false,false
57,{[http][https]},OFF,ON,ON,ON,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false,false,false
58,{[http][https]},ON,OFF,OFF,OFF,^[\w-\\.]*$,true,true,true,true,true,true,true,true,true,true,true,true
59,{[http][https]},ON,OFF,OFF,ON,^[\w-\\.]*$,true,true,true,true,true,true,true,true,true,true,true,true
60,{[http][https]},ON,OFF,ON,OFF,^[\w-\\.]*$,true,true,true,true,true,true,true,true,true,true,true,true
61,{[http][https]},ON,OFF,ON,ON,^[\w-\\.]*$,true,true,true,true,true,true,true,true,true,true,true,true
62,{[http][https]},ON,ON,OFF,OFF,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false,false,false
63,{[http][https]},ON,ON,OFF,ON,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false,false,false
64,{[http][https]},ON,ON,ON,OFF,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false,false,false
65,{[http][https]},ON,ON,ON,ON,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false,false,false
66,{[http][https][ftp]},OFF,OFF,OFF,OFF,DEFAULT,true,true,true,true,true,true,true,true,true,true,true,true
